type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,14:18:48,52.36123581,4.951343592,-0.3,2.8,21.54,136.4,1.241,7.74,,,
T,14:18:57,52.36116783,4.951364379,-0.4,3.1,19.49,169.4,1.248,7.7,,,
T,14:19:06,52.36109415,4.95138743,-0.2,3.3,17.97,169.2,1.257,8.35,,,
T,14:19:09,52.36107068,4.951395309,-0.8,3.2,18.75,168.4,1.259,2.67,,,
T,14:19:19,52.36096918,4.951406289,-0.7,4.1,14.72,176.2,1.271,11.32,,,
T,14:19:28,52.36088435,4.951407546,-0.7,3.8,15.89,179.5,1.28,9.44,,,
T,14:19:38,52.36078343,4.951408468,-0.1,4,14.84,179.7,1.291,11.23,,,
T,14:19:45,52.36072032,4.951413162,0,3.6,16.59,177.4,1.298,7.03,,,
T,14:19:54,52.3606862,4.951388603,0.4,1.7,36.16,203.7,1.303,4.15,,,
T,14:20:03,52.36067321,4.95138701,0.3,0.6,103.47,184.3,1.304,1.45,,,
T,14:20:11,52.36066114,4.951400589,0.6,0.7,81.76,145.5,1.306,1.63,,,
T,14:20:19,52.36061001,4.951386172,0.4,2.6,23.09,189.8,1.311,5.77,,,
T,14:20:24,52.36056794,4.951402014,0.1,3.5,17.34,167.1,1.316,4.8,,,
T,14:20:38,52.36042159,4.951472757,0.8,4.4,13.74,163.6,1.333,16.98,,,
T,14:20:52,52.3602936,4.951587087,0.4,4.2,14.37,151.4,1.35,16.23,,,
T,14:21:09,52.36014423,4.951759167,0.8,4.3,13.93,144.9,1.37,20.34,,,
T,14:21:16,52.36008195,4.951837789,0.7,4.5,13.32,142.4,1.379,8.76,,,
T,14:21:27,52.35998045,4.951933846,0.4,4.3,14.04,150,1.392,13.05,,,
T,14:21:36,52.35992705,4.952027304,0.5,3.5,17.22,133.1,1.4,8.71,,,
T,14:21:44,52.35987626,4.952106681,-0.1,3.5,17.05,136.3,1.408,7.82,,,
T,14:21:53,52.35987165,4.952112297,0,0.3,234.4,143.4,1.409,0.64,,,
T,14:22:00,52.35986495,4.952113638,0.8,0.4,155.2,173,1.41,0.75,,,
T,14:22:08,52.35985329,4.952092431,0.6,0.9,68.69,228,1.412,1.94,,,
T,14:22:16,52.35982832,4.952114057,0.2,1.4,42.39,152.1,1.415,3.15,,,
T,14:22:23,52.35981608,4.95212202,-0.5,0.8,79.59,158.3,1.416,1.47,,,
T,14:22:32,52.35977224,4.952166779,-0.1,2.3,26.08,148.1,1.422,5.75,,,
T,14:22:40,52.35973083,4.952222435,-0.1,2.7,22.35,140.6,1.428,5.97,,,
T,14:22:48,52.35969161,4.952264931,0,2.4,25.46,146.5,1.433,5.24,,,
T,14:22:57,52.35966437,4.952301811,0,1.6,38.1,140.4,1.437,3.94,,,
T,14:23:00,52.35965766,4.952267613,0.2,2.9,20.44,252.2,1.439,2.45,,,
T,14:23:10,52.35963159,4.95215429,-0.1,3,20.21,249.4,1.448,8.25,,,
T,14:23:18,52.35962723,4.952129731,-0.4,0.8,76.54,253.8,1.449,1.74,,,
T,14:23:28,52.35962673,4.952118583,-0.4,0.3,218.86,265.8,1.45,0.76,,,
T,14:23:41,52.35960905,4.952111961,0,0.6,107.31,192.9,1.452,2.02,,,
T,14:23:53,52.35960846,4.952168958,-0.2,1.2,51.5,91,1.456,3.88,,,
T,14:24:02,52.35961475,4.952232744,-0.3,1.8,34.08,80.8,1.461,4.4,,,
