type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:46:59,52.35928517,4.952578917,-6.7,1.8,33.7,358,0.172,0.49,,,
T,13:47:00,52.35929104,4.952578582,-6.5,2.4,25.51,358,0.172,0.65,,,
T,13:47:01,52.35929481,4.952575732,-6.7,1.7,36.04,335.2,0.173,0.46,,,
T,13:47:02,52.35929908,4.952569781,-6.5,2.3,26.67,319.6,0.173,0.63,,,
T,13:47:03,52.35930411,4.952565339,-6.7,2.3,26.2,331.7,0.174,0.64,,,
T,13:47:04,52.3593083,4.952562656,-6.7,1.8,33.28,338.7,0.175,0.5,,,
T,13:47:05,52.35931233,4.952559723,-6.7,1.8,33.99,336,0.175,0.49,,,
T,13:47:06,52.35931509,4.952561147,-6.5,1.2,51.64,17.5,0.175,0.32,,,
T,13:47:07,52.35931979,4.952567937,-6.8,2.5,23.89,41.5,0.176,0.7,,,
T,13:47:08,52.35932574,4.952575481,-6.3,3,19.88,37.7,0.177,0.84,,,
T,13:47:09,52.35933085,4.952578833,-6.5,2.2,27.19,21.8,0.178,0.61,,,
T,13:47:10,52.35933437,4.952576319,-6.6,1.5,38.98,336.4,0.178,0.43,,,
T,13:47:11,52.35933839,4.952576067,-6.5,1.6,37.2,357.8,0.178,0.45,,,
T,13:47:12,52.35934032,4.952577827,-7.3,0.9,67.82,29.1,0.179,0.25,,,
T,13:47:13,52.359343,4.952579336,-6.9,1.1,52.8,19,0.179,0.32,,,
T,13:47:14,52.35934476,4.952581264,-6.7,0.8,70.67,33.8,0.179,0.24,,,
T,13:47:15,52.35934426,4.952585455,-6.9,1,57.28,101.1,0.179,0.29,,,
T,13:47:16,52.35934342,4.952585371,-7.3,0.3,178.36,183.5,0.18,0.09,,,
T,13:47:17,52.35934284,4.952588305,-7,0.8,79.27,108.1,0.18,0.21,,,
T,13:47:18,52.35934091,4.952589395,-6.6,0.8,73.42,161,0.18,0.23,,,
T,13:47:19,52.35934015,4.952588053,-6.9,0.4,134.33,227.4,0.18,0.12,,,
T,13:47:20,52.35933923,4.952591071,-6.8,0.8,72.54,116.6,0.18,0.23,,,
T,13:47:21,52.35933781,4.952593334,-6.6,0.8,75.36,135.9,0.181,0.22,,,
T,13:47:22,52.3593368,4.952594927,-6.1,0.6,106.92,136,0.181,0.16,,,
T,13:47:23,52.35933655,4.952595681,-6.4,0.2,284.8,118.6,0.181,0.06,,,
T,13:47:24,52.35933747,4.952597441,-6.6,0.6,105.61,49.4,0.181,0.16,,,
T,13:47:25,52.35934183,4.952591742,-6.4,2.2,26.83,321.4,0.182,0.62,,,
T,13:47:26,52.35934963,4.952591406,-6.2,3.1,19.21,358.5,0.182,0.87,,,
T,13:47:27,52.3593575,4.952592663,-6.2,3.2,18.92,5.6,0.183,0.88,,,
T,13:47:28,52.35936245,4.952592663,-6.4,2,30.29,0,0.184,0.55,,,
T,13:47:29,52.35936631,4.952593418,-6.2,1.6,38.57,6.8,0.184,0.43,,,
T,13:47:30,52.35936882,4.952599285,-5.8,1.8,34.16,54.9,0.185,0.49,,,
T,13:47:31,52.35937343,4.952607499,-5.9,2.7,21.95,47.4,0.186,0.76,,,
T,13:47:32,52.35937762,4.952613367,-5.8,2.2,27.14,40.5,0.186,0.61,,,
T,13:47:33,52.35938257,4.95262024,-5.3,2.6,23.07,40.3,0.187,0.72,,,
T,13:47:34,52.35938475,4.952628203,-5.9,2.1,28.05,65.9,0.187,0.59,,,
T,13:47:35,52.35938667,4.952637004,-5.8,2.3,26.17,70.3,0.188,0.64,,,
T,13:47:36,52.35938877,4.95264438,-6.1,2,30.09,65.1,0.189,0.55,,,
T,13:47:37,52.35939128,4.952652007,-6.4,2.1,28.24,61.6,0.189,0.59,,,
T,13:47:38,52.35939246,4.952657036,-6,1.3,45.46,69.1,0.19,0.37,,,
T,13:47:39,52.35939162,4.952660138,-6,0.8,72.17,113.9,0.19,0.23,,,
T,13:47:40,52.35939045,4.95266458,-6.4,1.2,50.56,113.4,0.19,0.33,,,
T,13:47:41,52.35939447,4.952664748,-5.8,1.6,37.22,1.5,0.191,0.45,,,
T,13:47:42,52.35939413,4.95266852,-5.8,0.9,64.19,98.3,0.191,0.26,,,
T,13:47:43,52.35939422,4.952672208,-6.1,0.9,66.29,87.9,0.191,0.25,,,
T,13:47:44,52.35939447,4.952663574,-6.1,2.1,28.31,272.7,0.192,0.59,,,
T,13:47:45,52.35939271,4.952658461,-6.4,1.4,41.71,240.6,0.192,0.4,,,
T,13:47:46,52.35939195,4.952658797,-6.1,0.3,191.58,164.8,0.192,0.09,,,
T,13:47:47,52.3593943,4.952660138,-6.3,1,60.24,19.2,0.193,0.28,,,
